name,camera,display,price,processor,rating,rom
Apple iPhone XS (Space Grey| 64 GB),12MP + 12MP | 7MP Front Camera,14.73 cm (5.8 inch) Super Retina HD Display,"98,490",A12 Bionic Chip Processor,4.6,64 GB ROM 
Apple iPhone XS Max (Space Grey| 64 GB),12MP + 12MP | 7MP Front Camera,16.51 cm (6.5 inch) Super Retina HD Display,"1,09,900",A12 Bionic Chip Processor,4.7,64 GB ROM 
Apple iPhone 7 (Rose Gold| 128 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"52,999",A10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processor,4.5,128 GB ROM 
Apple iPhone XS Max (Space Grey| 512 GB),12MP + 12MP | 7MP Front Camera,16.51 cm (6.5 inch) Super Retina HD Display,"1,36,000",A12 Bionic Chip Processor,4.7,512 GB ROM 
Apple iPhone XR (White| 64 GB),12MP Rear Camera | 7MP Front Camera,15.49 cm (6.1 inch) Display,"75,999",A12 Bionic Chip Processor,4.6,64 GB ROM 
Apple iPhone XR (Coral| 64 GB),12MP Rear Camera | 7MP Front Camera,15.49 cm (6.1 inch) Display,"75,999",A12 Bionic Chip Processor,4.6,64 GB ROM 
Apple iPhone XS (Gold| 512 GB),12MP + 12MP | 7MP Front Camera,14.73 cm (5.8 inch) Super Retina HD Display,"1,29,990",A12 Bionic Chip Processor,4.6,512 GB ROM 
Apple iPhone SE (Gold| 32 GB),12MP Rear Camera | 1.2MP Front Camera,10.16 cm (4 inch) Retina Display,"16,999",Apple A9 64-bit processor and Embedded M9 Motion Co-processor,4.5,32 GB ROM 
Apple iPhone SE (Space Grey| 32 GB),12MP Rear Camera | 1.2MP Front Camera,10.16 cm (4 inch) Retina Display,"17,999",Apple A9 64-bit processor and Embedded M9 Motion Co-processor,4.5,32 GB ROM 
Apple iPhone 7 (Jet Black| 32 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"39,900",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.5,32 GB ROM 
Apple iPhone XR (Coral| 128 GB),12MP Rear Camera | 7MP Front Camera,15.49 cm (6.1 inch) Display,"76,990",A12 Bionic Chip Processor,4.6,128 GB ROM 
Apple iPhone SE (Silver| 32 GB),12MP Rear Camera | 1.2MP Front Camera,10.16 cm (4 inch) Retina Display,"17,999",Apple A9 64-bit processor and Embedded M9 Motion Co-processor,4.5,32 GB ROM 
Apple iPhone 6s (Rose Gold| 16 GB),12MP Rear Camera | 5MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"31,999",A9 Chip with 64-bit Architecture and M9 Motion Co-processor,4.4,16 GB ROM 
Apple iPhone 7 (Black| 256 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"63,999",A10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processor,4.5,256 GB ROM 
Apple iPhone 7 (Silver| 256 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"63,999",A10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processor,4.6,256 GB ROM 
Apple iPhone 7 (PRODUCT) (Red| 256 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"63,999",A10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processor,4.7,256 GB ROM 
Apple iPhone 7 (Jet Black| 256 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"63,999",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.5,256 GB ROM 
Apple iPhone 6s (Silver| 64 GB),12MP Rear Camera | 5MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"49,999",A9 Chip with 64-bit Architecture and M9 Motion Co-processor,4.4,64 GB ROM 
